"date" "nazva" "TSP" "SO2" "CO" "NO2" "NO" "H2S" "C6H6O" "NH3" "CH2O"
2014-02-21 "ПСЗ-2" NA 0.025 2 0.04 NA 5e-04 0.0015 0.02 0.0045
2014-02-21 "ПСЗ-3" NA 0.023 2 0.03 0.013 2e-04 2e-04 0.02 0.0035
2014-02-21 "ПСЗ-6" 0.4 0.017 2 0.037 NA 8e-04 2e-04 0.012 0.003
2014-02-21 "ПСЗ-7" NA 0.036 2 0.047 NA 0.0012 0.0018 0.03 0.0075
2014-02-22 "ПСЗ-1" NA 0.03 2 0.035 NA 8e-04 0.0015 0.045 0.009
2014-02-22 "ПСЗ-2" NA 0.034 2 0.04 NA 0.002 0.0025 0.045 0.005
2014-02-22 "ПСЗ-3" NA 0.032 2 0.033 0.017 0.0012 0.0012 0.028 0.0055
2014-02-22 "ПСЗ-6" 0.45 0.025 2 0.05 NA 0.0015 8e-04 0.028 0.003
2014-02-22 "ПСЗ-7" NA 0.024 1 0.033 NA 8e-04 5e-04 0.025 0.0025
2014-02-24 "ПСЗ-1" NA 0.025 2 0.04 NA 7e-04 0.0013 0.027 0.0035
2014-02-24 "ПСЗ-2" NA 0.027 1 0.03 NA 0.001 7e-04 0.023 0.0055
2014-02-24 "ПСЗ-3" NA 0.036 2 0.085 0.05 0.001 7e-04 0.023 0.007
2014-02-24 "ПСЗ-6" 0.4 0.033 2 0.09 NA 0.0013 7e-04 0.033 0.004
2014-02-24 "ПСЗ-7" NA 0.018 1 0.055 NA 3e-04 3e-04 0.01 0.002
2014-02-25 "ПСЗ-1" NA 0.028 2 0.03 NA 8e-04 5e-04 0.032 0.0065
2014-02-25 "ПСЗ-2" NA 0.028 2 0.035 NA 5e-04 8e-04 0.02 0.005
2014-02-25 "ПСЗ-3" NA 0.029 2 0.033 0.02 0.001 2e-04 0.028 0.0075
2014-02-25 "ПСЗ-6" 0.35 0.031 2 0.053 NA 0.0015 0.001 0.025 0.005
2014-02-25 "ПСЗ-7" NA 0.023 1 0.017 NA 2e-04 0 0.01 0.0025
2014-02-26 "ПСЗ-1" NA 0.031 2 0.05 NA 5e-04 5e-04 0.028 0.0065
2014-02-26 "ПСЗ-2" NA 0.028 2 0.04 NA 2e-04 2e-04 0.025 0.005
2014-02-26 "ПСЗ-3" NA 0.032 3 0.043 0.033 2e-04 2e-04 0.028 0.007
2014-02-26 "ПСЗ-6" 0.4 0.037 2 0.04 NA 5e-04 8e-04 0.032 0.009
2014-02-26 "ПСЗ-7" NA 0.029 2 0.027 NA 5e-04 2e-04 0.018 0.0025
2014-02-27 "ПСЗ-1" NA 0.026 2 0.04 NA 2e-04 2e-04 0.015 0.0025
2014-02-27 "ПСЗ-2" NA 0.028 2 0.04 NA 5e-04 2e-04 0.02 0.0025
2014-02-27 "ПСЗ-3" NA 0.028 2 0.043 0.03 5e-04 2e-04 0.015 0.005
2014-02-27 "ПСЗ-6" 0.7 0.038 2 0.07 NA 0.0028 0.0032 0.065 0.0075
2014-02-27 "ПСЗ-7" NA 0.028 2 0.037 NA 5e-04 2e-04 0.015 0.0015
2014-02-28 "ПСЗ-1" NA 0.028 2 0.035 NA 5e-04 2e-04 0.005 0.002
2014-02-28 "ПСЗ-2" NA 0.028 2 0.03 NA 8e-04 5e-04 0.012 0.003
2014-02-28 "ПСЗ-3" NA 0.035 2 0.04 0.027 5e-04 2e-04 0.025 0.0045
2014-02-28 "ПСЗ-6" 0.55 0.041 2 0.037 NA 0.002 0.002 0.04 0.0045
2014-02-28 "ПСЗ-7" NA 0.027 2 0.023 NA 5e-04 5e-04 0.01 0.0015
2014-03-01 "ПСЗ-1" NA 0.013 2 0.05 NA 0.0032 0.0045 0.07 0.0095
2014-03-01 "ПСЗ-2" NA 0.012 2 0.035 NA 0.0032 0.0032 0.072 0.0095
2014-03-01 "ПСЗ-3" NA 0.008 2 0.04 0.03 0.003 0.0028 0.04 0.003
2014-03-01 "ПСЗ-6" 0.3 0.009 2 0.04 NA 0.0015 0.0023 0.032 0.005
2014-03-01 "ПСЗ-7" NA 0.008 1 0.027 NA 0.0025 0.0025 0.04 0.0055
2014-03-03 "ПСЗ-1" NA 0.018 1 0.05 NA 0.0013 0.0017 0.033 0.0035
2014-03-03 "ПСЗ-2" NA 0.016 2 0.05 NA 0.002 0.0013 0.027 0.0065
2014-03-03 "ПСЗ-3" NA 0.019 2 0.055 0.03 7e-04 0.0013 0.027 0.005
2014-03-03 "ПСЗ-6" 0.3 0.024 2 0.08 NA 0.0013 0.002 0.04 0.009
2014-03-03 "ПСЗ-7" NA 0.02 2 0.03 NA 7e-04 0.001 0.023 0.0025
2014-03-04 "ПСЗ-1" NA 0.016 2 0.04 NA 0.001 0.0015 0.025 0.004
2014-03-04 "ПСЗ-2" NA 0.012 2 0.04 NA 0.0015 0.0018 0.03 0.0055
2014-03-04 "ПСЗ-3" NA 0.008 2 0.04 0.023 0.0015 0.0018 0.045 0.003
2014-03-04 "ПСЗ-6" 0.25 0.004 2 0.067 NA 0.0025 0.0018 0.028 0.006
2014-03-04 "ПСЗ-7" NA 0.004 1 0.047 NA 0.0015 0.0018 0.028 0.004
2014-03-05 "ПСЗ-1" NA 0.026 2 0.08 NA 0.001 0.0018 0.04 0.007
2014-03-05 "ПСЗ-2" NA 0.026 3 0.065 NA 0.0018 0.0023 0.035 0.008
2014-03-05 "ПСЗ-3" NA 0.022 2 0.033 0.023 0.001 0.001 0.025 0.0045
2014-03-05 "ПСЗ-6" 0.3 0.019 2 0.04 NA 0.0012 0.001 0.032 0.0035
2014-03-05 "ПСЗ-7" NA 0.016 2 0.03 NA 5e-04 5e-04 0.025 0.0025
2014-03-06 "ПСЗ-1" NA 0.024 1 0.02 NA 0.001 5e-04 0.02 0.004
2014-03-06 "ПСЗ-2" NA 0.022 2 0.03 NA 0.0018 0.0015 0.03 0.006
2014-03-06 "ПСЗ-3" NA 0.03 2 0.05 0.03 8e-04 5e-04 0.028 0.01
2014-03-06 "ПСЗ-6" 0.55 0.037 2 0.073 NA 0.0032 0.0025 0.038 0.008
2014-03-06 "ПСЗ-7" NA 0.026 1 0.03 NA 0.001 0.001 0.015 0.0035
2014-03-07 "ПСЗ-1" NA 0.021 1 0.03 NA 0.001 5e-04 0.025 0.003
2014-03-07 "ПСЗ-2" NA 0.028 1 0.05 NA 0.0015 0.001 0.03 0.003
2014-03-07 "ПСЗ-3" NA 0.026 2 0.045 0.03 0.001 5e-04 0.03 0.005
2014-03-07 "ПСЗ-6" 0.4 0.032 2 0.08 NA 0.001 0.0015 0.04 0.009
2014-03-07 "ПСЗ-7" NA 0.034 1 0.03 NA 0.001 0.0015 0.02 0.002
2014-03-10 "ПСЗ-1" NA 0.026 2 0.04 NA 0.001 3e-04 0.02 0.0035
2014-03-10 "ПСЗ-2" NA 0.021 2 0.055 NA 7e-04 7e-04 0.027 0.0055
2014-03-10 "ПСЗ-3" NA 0.027 2 0.04 0.025 3e-04 0 0.013 0.0045
2014-03-10 "ПСЗ-6" 0.55 0.05 2 0.065 NA 0.003 0.0023 0.037 0.006
2014-03-10 "ПСЗ-7" NA 0.019 2 0.03 NA 7e-04 3e-04 0.01 0.0035
2014-03-11 "ПСЗ-1" NA 0.03 1 0.045 NA 5e-04 2e-04 0.032 0.0035
2014-03-11 "ПСЗ-2" NA 0.028 2 0.05 NA 5e-04 0 0.025 0.005
2014-03-11 "ПСЗ-3" NA 0.024 2 0.06 0.037 2e-04 0 0.03 0.0045
2014-03-11 "ПСЗ-6" 0.65 0.045 1 0.08 NA 0.0038 0.003 0.055 0.008
2014-03-11 "ПСЗ-7" NA 0.023 2 0.027 NA 5e-04 0 0.015 0.004
2014-03-12 "ПСЗ-1" NA 0.027 1 0.045 NA 5e-04 2e-04 0.015 0.003
2014-03-12 "ПСЗ-2" NA 0.03 2 0.035 NA 8e-04 5e-04 0.02 0.005
2014-03-12 "ПСЗ-3" NA 0.022 1 0.03 0.013 5e-04 0 0.015 0.004
2014-03-12 "ПСЗ-6" 0.75 0.034 2 0.047 NA 0.0018 0.0018 0.032 0.006
2014-03-12 "ПСЗ-7" NA 0.017 2 0.027 NA 8e-04 5e-04 0.015 0.0035
2014-03-13 "ПСЗ-1" NA 0.02 1 0.03 NA 5e-04 2e-04 0.015 0.0025
2014-03-13 "ПСЗ-2" NA 0.024 2 0.05 NA 8e-04 5e-04 0.03 0.0055
2014-03-13 "ПСЗ-3" NA 0.029 2 0.04 0.027 8e-04 0 0.018 0.0055
2014-03-13 "ПСЗ-6" 0.4 0.025 2 0.04 NA 0.002 8e-04 0.04 0.0055
2014-03-13 "ПСЗ-7" NA 0.024 1 0.04 NA 8e-04 2e-04 0.012 0.004
